prompt_id,category,removed,n_tokens,n_words,len_ratio,stopped_early,divergence_tok,diverged,prefix_frac,uni_f1,big_f1,distinct_1,distinct_2,distinct_3,loop_onset,looped_frac,ttr,mean_sent_len,py_parse_frac
code_15,code,2,1024,809,1.0,0.0,7,1.0,0.0068359375,0.28125,0.05278592375366569,0.1591796875,0.34506353861192574,0.4452054794520548,639,0.5615234375,0.17799752781211373,21.972972972972972,1.0
code_15,code,3,1024,603,1.0,0.0,261,1.0,0.2548828125,0.36328125,0.2668621700879765,0.203125,0.3597262952101662,0.42759295499021527,330,0.7236328125,0.28192371475953565,15.463414634146341,1.0
code_16,code,0,1024,585,1.0,0.0,0,0.0,1.0,1.0,1.0,0.080078125,0.11339198435972629,0.136986301369863,183,0.9580078125,0.10085470085470086,9.376811594202898,1.0
code_16,code,1,1024,585,1.0,0.0,1024,0.0,1.0,1.0,1.0,0.080078125,0.11339198435972629,0.136986301369863,183,0.9580078125,0.10085470085470086,9.376811594202898,1.0
code_16,code,2,1024,582,1.0,0.0,1,1.0,0.0009765625,0.875,0.823069403714565,0.0791015625,0.11730205278592376,0.14285714285714285,190,0.9609375,0.09965635738831616,9.582089552238806,1.0
code_16,code,3,1024,582,1.0,0.0,1,1.0,0.0009765625,0.875,0.823069403714565,0.0791015625,0.11730205278592376,0.14285714285714285,190,0.9609375,0.09965635738831616,9.582089552238806,1.0
code_17,code,0,1024,671,1.0,0.0,0,0.0,1.0,1.0,1.0,0.2255859375,0.46529814271749753,0.5919765166340509,841,0.4189453125,0.30700447093889716,11.898305084745763,1.0
code_17,code,1,1024,703,1.0,0.0,16,1.0,0.015625,0.5244140625,0.2678396871945259,0.224609375,0.4115347018572825,0.5185909980430529,847,0.5673828125,0.27880512091038406,13.98076923076923,1.0
code_17,code,2,1024,579,1.0,0.0,550,1.0,0.537109375,0.6640625,0.5845552297165201,0.1640625,0.3313782991202346,0.4354207436399217,661,0.5908203125,0.24870466321243523,10.338983050847459,1.0
code_17,code,3,1024,460,1.0,0.0,6,1.0,0.005859375,0.232421875,0.06842619745845552,0.1982421875,0.4310850439882698,0.5714285714285714,218,0.357421875,0.4,6.1477272727272725,1.0
code_18,code,0,1024,851,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1201171875,0.20527859237536658,0.24168297455968688,104,0.9345703125,0.12573443008225618,15.105263157894736,1.0
code_18,code,1,1024,856,1.0,0.0,128,1.0,0.125,0.6484375,0.4574780058651026,0.1083984375,0.19452590420332355,0.23972602739726026,104,0.8837890625,0.11799065420560748,15.851851851851851,1.0
code_18,code,2,1024,866,1.0,0.0,243,1.0,0.2373046875,0.8662109375,0.8044965786901271,0.1044921875,0.17888563049853373,0.20743639921722112,104,0.9345703125,0.10739030023094688,18.041666666666668,1.0
code_18,code,3,1024,889,1.0,0.0,124,1.0,0.12109375,0.4775390625,0.2873900293255132,0.1337890625,0.2541544477028348,0.3150684931506849,104,0.8466796875,0.13948256467941508,15.596491228070175,1.0
code_19,code,0,1024,784,1.0,0.0,0,0.0,1.0,1.0,1.0,0.21484375,0.42717497556207235,0.5058708414872799,593,0.60546875,0.2423469387755102,15.745098039215685,1.0
code_19,code,1,1024,674,1.0,0.0,25,1.0,0.0244140625,0.5234375,0.3069403714565005,0.2060546875,0.364613880742913,0.4070450097847358,476,1.0,0.2626112759643917,9.743243243243244,1.0
code_19,code,2,1024,792,1.0,0.0,0,1.0,0.0,0.33203125,0.09970674486803519,0.19140625,0.37145650048875856,0.4589041095890411,671,0.62109375,0.21338383838383837,22.685714285714287,1.0
code_19,code,3,1024,804,1.0,0.0,0,1.0,0.0,0.2958984375,0.0635386119257087,0.1962890625,0.4027370478983382,0.5058708414872799,724,0.5126953125,0.22139303482587064,18.837209302325583,1.0
explain_00,explain,0,1024,946,1.0,0.0,0,0.0,1.0,1.0,1.0,0.0126953125,0.013685239491691105,0.0136986301369863,33,0.9990234375,0.011627906976744186,11.974683544303797,
explain_00,explain,1,1024,946,1.0,0.0,1024,0.0,1.0,1.0,1.0,0.0126953125,0.013685239491691105,0.0136986301369863,33,0.9990234375,0.011627906976744186,11.974683544303797,
explain_00,explain,2,1024,946,1.0,0.0,1024,0.0,1.0,1.0,1.0,0.0126953125,0.013685239491691105,0.0136986301369863,33,0.9990234375,0.011627906976744186,11.974683544303797,
explain_00,explain,3,1024,946,1.0,0.0,1024,0.0,1.0,1.0,1.0,0.0126953125,0.013685239491691105,0.0136986301369863,33,0.9990234375,0.011627906976744186,11.974683544303797,
explain_01,explain,0,1024,857,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1005859375,0.19550342130987292,0.23581213307240703,324,1.0,0.11435239206534423,20.902439024390244,
